state,young,adult,old
Alabama,8,88,23
Alaska,6,95,22
Arizona,6,85,30
Arkansas,10,105,18
California,6,72,39
Colorado,6,69,30
Connecticut,9,75,34
Delaware,13,81,38
District of Columbia,0,40,47
Florida,3,74,29
Georgia,16,87,31
Hawaii,13,85,46
Idaho,7,95,29
Illinois,4,81,35
Indiana,7,99,27
Iowa,4,96,28
Kansas,13,108,27
Kentucky,19,91,26
Louisiana,15,96,28
Maine,26,81,37
Maryland,3,84,40
Massachusetts,2,66,37
Michigan,10,87,31
Minnesota,6,89,37
Mississippi,5,104,21
Missouri,6,87,32
Montana,3,90,28
Nebraska,3,110,33
Nevada,11,78,36
New Hampshire,12,81,22
New Jersey,6,81,41
New Mexico,18,84,27
New York,6,66,38
North Carolina,6,86,26
North Dakota,21,109,37
Ohio,10,90,26
Oklahoma,17,92,26
Oregon,7,73,31
Pennsylvania,6,85,30
Rhode Island,1,65,41
South Carolina,15,88,28
South Dakota,18,106,25
Tennessee,11,93,27
Texas,15,102,33
Utah,8,104,28
Vermont,0,60,35
Virginia,6,78,32
Washington,3,76,38
West Virginia,10,90,21
Wisconsin,6,84,29
Wyoming,4,123,17
Puerto Rico,12,45,12
